names,importances,experiment_id,CO_MES,var_target
ANO,0.0,de30e03a-3bbf-450a-8965-bf688caed603,03~mes,kt
ANO,0.0,de30e03a-3bbf-450a-8965-bf688caed603,03~mes,oc
ANO,0.0,0284ac40-1f2a-4399-9f25-ad3babfd25bc,04~mes,kt
"('03~mes', '1201~prdt', '021~geo2', '999~geo3', 'kt')",0.08631652953809334,0284ac40-1f2a-4399-9f25-ad3babfd25bc,04~mes,oc
ANO,0.04927226027397259,0284ac40-1f2a-4399-9f25-ad3babfd25bc,04~mes,oc
ANO,0.0,42d2f80e-1f1f-4957-85d4-7b8e9d199415,05~mes,kt
"('08~mes', '3103~prdt', '032~geo2', '999~geo3', 'kt')",0.1414141414141414,42d2f80e-1f1f-4957-85d4-7b8e9d199415,05~mes,oc
ANO,0.09090909090909091,42d2f80e-1f1f-4957-85d4-7b8e9d199415,05~mes,oc
ANO,0.0,0b6baa22-0166-48c9-9253-9e9e8fade435,06~mes,kt
"('10~mes', '-11:-47', 'mm')",0.06303030303030305,0b6baa22-0166-48c9-9253-9e9e8fade435,06~mes,oc
"('09~mes', '-7:-49', 'mm')",0.06163398692810458,0b6baa22-0166-48c9-9253-9e9e8fade435,06~mes,oc
ANO,0.026056547619047625,0b6baa22-0166-48c9-9253-9e9e8fade435,06~mes,oc
"('12~mes', '1005~prdt', '072~geo2', '998~geo3', 'kt')",0.05282134548766512,c16f21b2-95ad-40d0-85c5-5154ad4d8361,07~mes,kt
ANO,0.024862023044144924,c16f21b2-95ad-40d0-85c5-5154ad4d8361,07~mes,kt
"('09~mes', '3808~prdt', '091~geo2', '999~geo3', 'kt')",0.08,c16f21b2-95ad-40d0-85c5-5154ad4d8361,07~mes,oc
"('09~mes', '5201~prdt', '081~geo2', '999~geo3', 'kt')",0.08,c16f21b2-95ad-40d0-85c5-5154ad4d8361,07~mes,oc
ANO,0.07,c16f21b2-95ad-40d0-85c5-5154ad4d8361,07~mes,oc
"('01~mes', '4703~prdt', '081~geo2', '999~geo3', 'kt')",0.050218696770204484,862be1c1-d22d-4a60-888a-7690a3b2f7f9,08~mes,kt
ANO,0.009021471502173676,862be1c1-d22d-4a60-888a-7690a3b2f7f9,08~mes,kt
"('11~mes', '-10:-40', 'mm')",0.07,862be1c1-d22d-4a60-888a-7690a3b2f7f9,08~mes,oc
ANO,0.02,862be1c1-d22d-4a60-888a-7690a3b2f7f9,08~mes,oc
"('08~mes', '3105~prdt', '081~geo2', '999~geo3', 'kt')",0.04118047238898487,787eb41e-2cea-41da-86e8-6eae238997f9,09~mes,kt
"('06~mes', '-6:-44', 'mm')",0.04007369004894861,787eb41e-2cea-41da-86e8-6eae238997f9,09~mes,kt
ANO,0.009076863425453593,787eb41e-2cea-41da-86e8-6eae238997f9,09~mes,kt
"('08~mes', '3808~prdt', '081~geo2', '999~geo3', 'kt')",0.1,787eb41e-2cea-41da-86e8-6eae238997f9,09~mes,oc
ANO,0.0,787eb41e-2cea-41da-86e8-6eae238997f9,09~mes,oc
