max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
89,3,3,13,0.12278127670288086,de30e03a-3bbf-450a-8965-bf688caed603
89,13,3,3,0.1130979061126709,0284ac40-1f2a-4399-9f25-ad3babfd25bc
34,21,5,5,0.14840221405029297,42d2f80e-1f1f-4957-85d4-7b8e9d199415
233,13,2,1,0.48250579833984375,0b6baa22-0166-48c9-9253-9e9e8fade435
233,21,3,3,0.11403870582580566,c16f21b2-95ad-40d0-85c5-5154ad4d8361
34,233,3,3,0.11245083808898926,862be1c1-d22d-4a60-888a-7690a3b2f7f9
21,233,3,3,0.14493536949157715,787eb41e-2cea-41da-86e8-6eae238997f9
55,233,2,1,0.19581961631774902,a21e9800-6af1-4542-a369-f26149db21e2
89,144,3,2,0.11858963966369629,208eaf26-2885-450a-ae5a-bd0863b4aa78
987,144,3,1,0.1119985580444336,449bb163-7b3f-4ae1-bddc-17b6e5824ae1
4181,233,5,2,0.11600184440612793,5991c64e-37c0-4666-b04f-a5d3702651e5
1597,610,3,5,0.10926342010498047,b28f9648-e733-4a30-aacf-8a6e9bcc9881
